day,month,year,visitors,datetime,weekday
1,1,2016,443,2016-01-01,Fri
2,1,2016,363,2016-01-02,Sat
3,1,2016,327,2016-01-03,Sun
4,1,2016,170,2016-01-04,Mon
5,1,2016,118,2016-01-05,Tue
6,1,2016,88,2016-01-06,Wed
7,1,2016,48,2016-01-07,Thu
8,1,2016,48,2016-01-08,Fri
9,1,2016,106,2016-01-09,Sat
10,1,2016,162,2016-01-10,Sun
11,1,2016,25,2016-01-11,Mon
12,1,2016,12,2016-01-12,Tue
13,1,2016,46,2016-01-13,Wed
14,1,2016,43,2016-01-14,Thu
15,1,2016,30,2016-01-15,Fri
16,1,2016,84,2016-01-16,Sat
17,1,2016,129,2016-01-17,Sun
18,1,2016,29,2016-01-18,Mon
19,1,2016,35,2016-01-19,Tue
20,1,2016,27,2016-01-20,Wed
21,1,2016,25,2016-01-21,Thu
22,1,2016,20,2016-01-22,Fri
23,1,2016,226,2016-01-23,Sat
24,1,2016,146,2016-01-24,Sun
25,1,2016,45,2016-01-25,Mon
26,1,2016,30,2016-01-26,Tue
27,1,2016,32,2016-01-27,Wed
28,1,2016,31,2016-01-28,Thu
29,1,2016,56,2016-01-29,Fri
30,1,2016,289,2016-01-30,Sat
31,1,2016,320,2016-01-31,Sun
1,2,2016,82,2016-02-01,Mon
2,2,2016,41,2016-02-02,Tue
3,2,2016,132,2016-02-03,Wed
4,2,2016,113,2016-02-04,Thu
5,2,2016,59,2016-02-05,Fri
6,2,2016,362,2016-02-06,Sat
7,2,2016,205,2016-02-07,Sun
8,2,2016,52,2016-02-08,Mon
9,2,2016,67,2016-02-09,Tue
10,2,2016,22,2016-02-10,Wed
11,2,2016,54,2016-02-11,Thu
12,2,2016,71,2016-02-12,Fri
13,2,2016,447,2016-02-13,Sat
14,2,2016,349,2016-02-14,Sun
15,2,2016,106,2016-02-15,Mon
16,2,2016,205,2016-02-16,Tue
17,2,2016,98,2016-02-17,Wed
18,2,2016,143,2016-02-18,Thu
19,2,2016,258,2016-02-19,Fri
20,2,2016,223,2016-02-20,Sat
21,2,2016,172,2016-02-21,Sun
22,2,2016,377,2016-02-22,Mon
23,2,2016,582,2016-02-23,Tue
24,2,2016,631,2016-02-24,Wed
25,2,2016,774,2016-02-25,Thu
26,2,2016,601,2016-02-26,Fri
27,2,2016,910,2016-02-27,Sat
28,2,2016,1055,2016-02-28,Sun
29,2,2016,229,2016-02-29,Mon
1,3,2016,377,2016-03-01,Tue
2,3,2016,313,2016-03-02,Wed
3,3,2016,233,2016-03-03,Thu
4,3,2016,210,2016-03-04,Fri
5,3,2016,536,2016-03-05,Sat
6,3,2016,546,2016-03-06,Sun
7,3,2016,366,2016-03-07,Mon
8,3,2016,220,2016-03-08,Tue
9,3,2016,234,2016-03-09,Wed
10,3,2016,295,2016-03-10,Thu
11,3,2016,329,2016-03-11,Fri
12,3,2016,1179,2016-03-12,Sat
13,3,2016,910,2016-03-13,Sun
14,3,2016,172,2016-03-14,Mon
15,3,2016,246,2016-03-15,Tue
16,3,2016,408,2016-03-16,Wed
17,3,2016,215,2016-03-17,Thu
18,3,2016,281,2016-03-18,Fri
19,3,2016,489,2016-03-19,Sat
20,3,2016,422,2016-03-20,Sun
21,3,2016,108,2016-03-21,Mon
22,3,2016,167,2016-03-22,Tue
23,3,2016,146,2016-03-23,Wed
24,3,2016,198,2016-03-24,Thu
25,3,2016,1522,2016-03-25,Fri
26,3,2016,1303,2016-03-26,Sat
27,3,2016,2597,2016-03-27,Sun
28,3,2016,3419,2016-03-28,Mon
29,3,2016,289,2016-03-29,Tue
30,3,2016,166,2016-03-30,Wed
31,3,2016,212,2016-03-31,Thu
1,1,2015,420,2015-01-01,Thu
2,1,2015,88,2015-01-02,Fri
3,1,2015,267,2015-01-03,Sat
4,1,2015,489,2015-01-04,Sun
5,1,2015,359,2015-01-05,Mon
6,1,2015,334,2015-01-06,Tue
7,1,2015,139,2015-01-07,Wed
8,1,2015,138,2015-01-08,Thu
9,1,2015,132,2015-01-09,Fri
10,1,2015,296,2015-01-10,Sat
11,1,2015,68,2015-01-11,Sun
12,1,2015,25,2015-01-12,Mon
13,1,2015,16,2015-01-13,Tue
14,1,2015,37,2015-01-14,Wed
15,1,2015,45,2015-01-15,Thu
16,1,2015,13,2015-01-16,Fri
17,1,2015,193,2015-01-17,Sat
18,1,2015,229,2015-01-18,Sun
19,1,2015,37,2015-01-19,Mon
20,1,2015,19,2015-01-20,Tue
21,1,2015,34,2015-01-21,Wed
22,1,2015,19,2015-01-22,Thu
23,1,2015,45,2015-01-23,Fri
24,1,2015,413,2015-01-24,Sat
25,1,2015,302,2015-01-25,Sun
26,1,2015,74,2015-01-26,Mon
27,1,2015,48,2015-01-27,Tue
28,1,2015,22,2015-01-28,Wed
29,1,2015,13,2015-01-29,Thu
30,1,2015,53,2015-01-30,Fri
31,1,2015,189,2015-01-31,Sat
1,2,2015,156,2015-02-01,Sun
2,2,2015,37,2015-02-02,Mon
3,2,2015,19,2015-02-03,Tue
4,2,2015,33,2015-02-04,Wed
5,2,2015,145,2015-02-05,Thu
6,2,2015,118,2015-02-06,Fri
7,2,2015,376,2015-02-07,Sat
8,2,2015,308,2015-02-08,Sun
9,2,2015,41,2015-02-09,Mon
