timestamp,precipitation,temp_mean,snow_depth,temp_min,temp_max,day,month,year,visitors,datetime,weekday
2010-01-01 00:00:00+00:00,-1.0,-12.9,27.0,-15.3,-10.1,1,1,2010,293,2010-01-01,Fri
2010-01-02 00:00:00+00:00,-1.0,-17.4,26.0,-19.3,-15.2,2,1,2010,148,2010-01-02,Sat
2010-01-03 00:00:00+00:00,1.0,-12.6,24.0,-21.8,-3.2,3,1,2010,156,2010-01-03,Sun
2010-01-04 00:00:00+00:00,3.5,-3.8,26.0,-8.2,-2.0,4,1,2010,316,2010-01-04,Mon
2010-01-05 00:00:00+00:00,0.5,-9.5,28.0,-14.7,-0.9,5,1,2010,268,2010-01-05,Tue
2010-01-06 00:00:00+00:00,1.2,-11.2,27.0,-15.7,-9.2,6,1,2010,495,2010-01-06,Wed
2010-01-07 00:00:00+00:00,4.3,-8.7,30.0,-10.2,-7.2,7,1,2010,72,2010-01-07,Thu
2010-01-08 00:00:00+00:00,-1.0,-16.1,36.0,-18.9,-9.1,8,1,2010,75,2010-01-08,Fri
2010-01-09 00:00:00+00:00,-1.0,-15.4,34.0,-19.0,-10.3,9,1,2010,110,2010-01-09,Sat
2010-01-10 00:00:00+00:00,0.4,-12.6,33.0,-17.0,-10.8,10,1,2010,111,2010-01-10,Sun
2010-01-11 00:00:00+00:00,-1.0,-10.2,32.0,-14.3,-6.8,11,1,2010,37,2010-01-11,Mon
2010-01-12 00:00:00+00:00,0.4,-3.2,31.0,-6.8,-2.3,12,1,2010,25,2010-01-12,Tue
2010-01-13 00:00:00+00:00,0.1,-4.0,29.0,-5.1,-2.9,13,1,2010,18,2010-01-13,Wed
2010-01-14 00:00:00+00:00,0.3,-4.7,30.0,-5.5,-3.9,14,1,2010,30,2010-01-14,Thu
2010-01-15 00:00:00+00:00,0.3,-3.9,30.0,-4.8,-3.3,15,1,2010,43,2010-01-15,Fri
2010-01-16 00:00:00+00:00,-1.0,-3.9,30.0,-4.8,-2.9,16,1,2010,218,2010-01-16,Sat
2010-01-17 00:00:00+00:00,-1.0,-6.6,29.0,-8.8,-4.6,17,1,2010,238,2010-01-17,Sun
2010-01-18 00:00:00+00:00,-1.0,-7.3,29.0,-9.3,-4.8,18,1,2010,36,2010-01-18,Mon
2010-01-19 00:00:00+00:00,-1.0,-7.8,29.0,-9.8,-6.4,19,1,2010,18,2010-01-19,Tue
2010-01-20 00:00:00+00:00,-1.0,-10.6,29.0,-12.0,-6.9,20,1,2010,97,2010-01-20,Wed
2010-01-21 00:00:00+00:00,-1.0,-14.9,29.0,-16.6,-11.6,21,1,2010,30,2010-01-21,Thu
2010-01-22 00:00:00+00:00,-1.0,-11.9,29.0,-14.2,-9.1,22,1,2010,15,2010-01-22,Fri
2010-01-23 00:00:00+00:00,-1.0,-15.1,29.0,-16.3,-12.6,23,1,2010,86,2010-01-23,Sat
2010-01-24 00:00:00+00:00,-1.0,-17.0,29.0,-22.6,-11.6,24,1,2010,58,2010-01-24,Sun
2010-01-25 00:00:00+00:00,-1.0,-9.2,31.0,-11.9,-6.9,25,1,2010,34,2010-01-25,Mon
2010-01-26 00:00:00+00:00,-1.0,-16.3,32.0,-18.7,-8.2,26,1,2010,23,2010-01-26,Tue
2010-01-27 00:00:00+00:00,-1.0,-17.5,31.0,-21.8,-15.0,27,1,2010,8,2010-01-27,Wed
2010-01-28 00:00:00+00:00,4.5,-16.0,32.0,-18.7,-14.3,28,1,2010,43,2010-01-28,Thu
2010-01-29 00:00:00+00:00,3.6,-12.1,50.0,-15.4,-11.2,29,1,2010,21,2010-01-29,Fri
2010-01-30 00:00:00+00:00,8.8,-7.7,53.0,-11.2,-7.0,30,1,2010,93,2010-01-30,Sat
2010-01-31 00:00:00+00:00,1.5,-2.8,55.0,-7.4,-0.6,31,1,2010,129,2010-01-31,Sun
2010-02-01 00:00:00+00:00,10.1,-5.6,52.0,-9.6,-3.3,1,2,2010,72,2010-02-01,Mon
2010-02-02 00:00:00+00:00,1.0,-5.8,61.0,-7.4,-3.7,2,2,2010,30,2010-02-02,Tue
2010-02-03 00:00:00+00:00,-1.0,-4.2,59.0,-6.0,-2.2,3,2,2010,55,2010-02-03,Wed
2010-02-04 00:00:00+00:00,0.5,-3.7,56.0,-5.2,-3.0,4,2,2010,29,2010-02-04,Thu
2010-02-05 00:00:00+00:00,0.2,-2.9,55.0,-4.0,-2.0,5,2,2010,101,2010-02-05,Fri
2010-02-06 00:00:00+00:00,-1.0,-6.0,53.0,-7.3,-2.9,6,2,2010,290,2010-02-06,Sat
2010-02-07 00:00:00+00:00,3.9,-4.2,52.0,-7.1,-2.8,7,2,2010,276,2010-02-07,Sun
2010-02-08 00:00:00+00:00,2.1,-2.9,55.0,-3.7,-1.4,8,2,2010,15,2010-02-08,Mon
2010-02-09 00:00:00+00:00,1.2,-8.0,56.0,-9.8,-3.5,9,2,2010,31,2010-02-09,Tue
2010-02-10 00:00:00+00:00,-1.0,-11.9,56.0,-14.2,-9.5,10,2,2010,100,2010-02-10,Wed
